id,question
1,Saya sering mendengar suara-suara kecil ketika orang lain tidak mendengarnya
2,"Saya biasanya lebih berkonsentrasi pada keseluruhan gambar, daripada detail-detail kecil"
3,Saya merasa mudah untuk melakukan lebih dari satu hal sekaligus
4,"Jika ada gangguan, saya dapat beralih kembali ke apa yang sedang saya kerjakan dengan sangat cepat"
5,Saya merasa mudah untuk 'membaca yang tertulis' ketika seseorang berbicara kepada saya
6,Saya tahu bagaimana cara mengetahui jika seseorang yang mendengarkan saya mulai bosan
7,"Ketika saya membaca cerita, saya merasa sulit untuk mengetahui maksud dari karakter"
8,"Saya suka mengumpulkan informasi tentang kategori benda (misalnya jenis mobil, jenis burung, jenis kereta api, jenis tanaman, dll.)"
9,Saya merasa mudah untuk mengetahui apa yang dipikirkan atau dirasakan seseorang hanya dengan melihat wajahnya
10,Saya merasa sulit untuk mengetahui niat orang lain